hot_rank,original_rank,ingredient,group,recipe_count,keyword,keyword_ascii,google_trends_hot_score,relative_to_anchor,trends_batch_avg_interest,anchor_batch_avg_interest,trends_max_interest,nonzero_points,data_points,status,trends_url
55,64,Nấm hương,Nấm,50,nấm hương,nam huong,0.25,0.192308,15.0,78.0,20.0,53,53,ok,https://trends.google.com/trends/explore?geo=VN&q=n%E1%BA%A5m+h%C6%B0%C6%A1ng&hl=vi-VN
74,65,Bánh phở,Ngũ cốc,49,bánh phở,banh pho,0.15,0.115385,9.0,78.0,14.0,53,53,ok,https://trends.google.com/trends/explore?geo=VN&q=b%C3%A1nh+ph%E1%BB%9F&hl=vi-VN
80,66,Mù Tạt,Gia vị,46,mù tạt,mu tat,0.12,0.089744,7.0,78.0,25.0,53,53,ok,https://trends.google.com/trends/explore?geo=VN&q=m%C3%B9+t%E1%BA%A1t&hl=vi-VN
24,67,Cá Hồi,Hải sản,44,cá hồi,ca hoi,1.36,1.064103,83.0,78.0,92.0,53,53,ok,https://trends.google.com/trends/explore?geo=VN&q=c%C3%A1+h%E1%BB%93i&hl=vi-VN
40,68,Rau muống,Rau củ quả,44,rau muống,rau muong,0.66,0.512821,40.0,78.0,57.0,53,53,ok,https://trends.google.com/trends/explore?geo=VN&q=rau+mu%E1%BB%91ng&hl=vi-VN
66,69,Sườn Non,Thịt,44,sườn non,suon non,0.18,0.141026,11.0,78.0,18.0,53,53,ok,https://trends.google.com/trends/explore?geo=VN&q=s%C6%B0%E1%BB%9Dn+non&hl=vi-VN
37,70,Củ Cải,Rau củ quả,44,củ cải,cu cai,0.73,0.571429,4.0,7.0,7.0,53,53,ok,https://trends.google.com/trends/explore?geo=VN&q=c%E1%BB%A7+c%E1%BA%A3i&hl=vi-VN
,71,Ngũ vị hương,Gia vị,43,ngũ vị hương,ngu vi huong,,,0.0,7.0,1.0,2,53,no_data,https://trends.google.com/trends/explore?geo=VN&q=ng%C5%A9+v%E1%BB%8B+h%C6%B0%C6%A1ng&hl=vi-VN
3,72,Thì là,Gia vị,43,thì là,thi la,12.45,9.714286,68.0,7.0,100.0,53,53,ok,https://trends.google.com/trends/explore?geo=VN&q=th%C3%AC+l%C3%A0&hl=vi-VN
,73,Tàu hũ ky,Đậu & sản phẩm từ đậu,43,tàu hũ ky,tau hu ky,,,0.0,7.0,0.0,0,53,no_data,https://trends.google.com/trends/explore?geo=VN&q=t%C3%A0u+h%C5%A9+ky&hl=vi-VN
16,74,Nước Dùng,Thực phẩm chế biến sẵn,42,nước dùng,nuoc dung,2.41,1.882353,64.0,34.0,100.0,53,53,ok,https://trends.google.com/trends/explore?geo=VN&q=n%C6%B0%E1%BB%9Bc+d%C3%B9ng&hl=vi-VN
93,75,Dầu Oliu,Dầu ăn,40,dầu ô liu,dau o liu,0.04,0.029412,1.0,34.0,3.0,52,53,ok,https://trends.google.com/trends/explore?geo=VN&q=d%E1%BA%A7u+%C3%B4+liu&hl=vi-VN
